time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-03-21T14:50:45.680Z,36.440600,-98.777800,5.000000,2.600000,mb_lg,,109.000000,0.026000,0.500000,us,us20005bfs,2016-03-22T03:59:55.700Z,"32km NW of Fairview, Oklahoma",earthquake,1.600000,1.600000,0.228000,5.000000,reviewed,us,us

2016-03-21T14:48:51.330Z,27.773400,66.102600,10.000000,5.300000,mb,,38.000000,7.200000,0.520000,us,us20005bft,2016-03-22T03:46:17.040Z,"53km W of Khuzdar, Pakistan",earthquake,7.700000,1.800000,0.039000,223.000000,reviewed,us,us

2016-03-21T14:21:08.000Z,19.387000,-155.243333,2.701000,2.860000,ml,37.000000,51.000000,0.007674,0.080000,hv,hv61208591,2016-03-21T22:23:49.214Z,"4km S of Volcano, Hawaii",earthquake,0.200000,0.170000,0.171000,18.000000,reviewed,hv,hv

2016-03-21T14:14:57.000Z,53.860000,-160.956800,35.100000,3.100000,ml,,,,1.040000,ak,ak13031908,2016-03-21T22:17:32.932Z,"137km SW of Chernabura Island, Alaska",earthquake,3.800000,2.200000,,,reviewed,ak,ak

2016-03-21T14:14:44.000Z,60.972000,-151.177000,62.200000,2.600000,ml,,,,0.570000,ak,ak13031904,2016-03-21T15:43:41.302Z,"31km N of Nikiski, Alaska",earthquake,0.300000,0.800000,,,automatic,ak,ak

2016-03-21T14:06:04.910Z,35.725300,99.265800,14.500000,4.900000,mb,,45.000000,9.111000,0.780000,us,us20005bfp,2016-03-21T22:08:42.723Z,"68km WSW of Heka, China",earthquake,8.800000,4.400000,0.073000,58.000000,reviewed,us,us

2016-03-21T13:18:23.510Z,43.262600,-71.780900,6.790000,2.900000,mb_lg,,103.000000,0.227000,0.570000,us,us20005bfm,2016-03-21T17:39:24.504Z,"7km NW of Contoocook, New Hampshire",earthquake,1.400000,7.500000,0.095000,29.000000,reviewed,us,us

2016-03-21T13:18:09.767Z,38.474100,-118.363000,4.500000,3.400000,ml,25.000000,45.080000,0.044000,0.158200,nn,nn00536452,2016-03-23T21:41:32.052Z,"23km ESE of Hawthorne, Nevada",earthquake,0.820000,2.400000,0.400000,10.000000,reviewed,nn,nn

2016-03-21T11:11:03.000Z,51.400300,-174.419200,1.400000,3.300000,ml,,,,0.540000,ak,ak13031194,2016-03-21T19:13:48.070Z,"89km S of Atka, Alaska",earthquake,4.500000,1.200000,,,reviewed,ak,ak

